name_contains_bot,screen_name_contains_bot,name_screen_levenshtein,followers_count,following_count,favorites_count,tweets_count,verified,location,description_contains_link,description_contains_bot,tweets_contains_link_count,tweets_contains_bot_count,retweet_count,tweet_levenstein1,tweet_levenstein2,tweet_levenstein3,tweet_levenstein4,is_bot
False,False,9,1700,4,4,13020,False,,False,False,5,0,0,42,45,40,27,True
False,False,6,824,851,516,251,False,United States,False,True,4,0,1,102,93,99,113,False
False,False,9,194,803,4089,1196,False,,False,False,3,0,0,53,54,43,57,False
False,False,13,564,657,9991,1627,False,"Birmingham, AL",False,False,1,0,5,110,110,109,110,False
False,False,1,748423,118,149,4290,True,"England, United Kingdom",False,False,0,0,2,132,131,129,120,False
False,False,5,289157,1595,5558,14659,True,Los Angeles,True,False,2,0,1,51,47,91,80,False
False,False,13,7129317,38,779,1258,True,,False,False,3,0,0,55,56,116,124,False
False,False,4,2080,3343,37892,64358,False,United Kingdom,False,False,2,0,1,31,58,107,99,False
False,False,1,29479,28,0,25333,False,,True,True,0,1,0,39,52,40,41,True
False,False,1,259237,681,26882,42732,True,"London, New York, Paris, Milan",False,False,1,0,4,114,115,110,114,False
False,False,3,1894354,2171,56794,83875,True,"Nashville, TN",False,False,2,0,2,26,81,21,67,False
False,False,3,252493,585,4326,6205,True,Italy,False,False,3,0,2,101,120,102,117,False
False,False,11,5210,581,85551,110458,False,,False,False,1,0,0,91,88,47,39,False
False,False,8,36676,372,528,9151,True,└A,False,False,5,0,0,97,106,106,105,False
False,False,14,7934240,3057,41405,22351,True,,False,False,4,0,1,68,61,75,76,False
False,False,1,15866,1163,5374,13322,True,"Washington, DC",False,False,2,0,1,3,117,112,117,False
False,False,5,170534,116,1388,80787,True,Malaysia,False,False,3,0,4,25,122,126,83,False
False,False,12,578,948,31052,9246,False,USA,False,True,4,1,1,109,114,37,113,False
False,False,10,5772,4,464,4974,False,The Internet,True,False,5,0,0,27,29,31,42,True
False,False,13,134,140,9591,7010,False,,False,False,1,0,2,106,110,107,114,False
False,False,16,251823,1001,191,27157,False,الرياض,False,False,3,0,3,112,122,111,132,False
False,False,5,8072,508,10519,13830,False,"Lahore, Pakistan",False,False,3,0,1,105,105,107,97,False
False,False,26,721,613,6569,5853,False,,False,False,3,0,1,112,114,101,105,False
False,False,13,2,0,118,19,False,,True,False,5,0,0,94,62,10,58,True
False,False,3,266,247,922,1342,False,"Philadelphia, PA",False,False,4,0,2,99,111,121,101,False
False,False,8,110256,1367,15020,69504,True,Email: hhassan@newlinesmag.com,True,False,2,0,3,121,110,116,111,False
False,False,9,391,329,3427,28842,False,lost angels,False,False,3,0,0,107,63,67,73,False
