id,account_type
787405734442958848,bot
796216118331310080,human
875949740503859204,human
756119643622735875,human
464781334,human
800833795234611200,bot
55050269,human
809500704,human
1015021614,human
492306486,human
432537664,human
2579497028,bot
19660870,human
313087874,human
211550281,human
769392715,human
772106131875500032,human
772521707810787328,human
476691783,human
384565337,bot
305922144,human
1183842404,bot
253755500,human
368050288,human
14418045,human
296484990,human
932049341862240256,bot
99352713,human
519045260,human
115343506,human
2166882457,human
381157528,bot
721944734,bot
3392143521,human
23330998,human
63176889,human
239861947,human
21758143,human
765944091385421824,bot
19923144,bot
235667666,human
1191444692,human
2499018968,human
557842655,human
23331044,bot
321388777,human
298320111,human
51904755,bot
243794165,human
2918711542,bot
123470069,human
2943615224,bot
127664378,human
1084227842,bot
122159370,bot
39321874,bot
949036672741793793,bot
2178679070,human
2980315426,bot
17039652,human
1014793793353199617,human
202375506,human
347865421,bot
572785000,bot
4790681969,human
380457314,bot
15729017,human
596377986,human
711721350,bot
326369679,bot
866648466,bot
708759570319953920,bot
722003254716944384,bot
418,human
19399072,bot
875782003244892160,bot
734035576068788225,bot
816463277643288577,human
611582397,human
57409991,human
46662096,human
101974483,human
2610430435,bot
38797799,human
30409200,human
24117754,human
491258363,human
4112253434,bot
872826012794585089,human
876795381841100801,bot
287834630,human
62915097,human
261620277,human
15729207,human
114557496,human
19923515,bot
50856512,bot
1377305161,human
586,human
30147163,bot
483656289,human
848036460,human
336069232,human
128799124,human
114557557,human
111673973,human
848822905,human
265814650,bot
133694084,bot
1658061462,human
60031646,human
111936162,human
2768241314,human
703857318,bot
632029895,bot
1587544788,bot
243794651,bot
788792041,human
1692140268,human
15467245,bot
721683182,human
3282830066,human
20447988,human
94896901,human
88081160,human
63701775,human
30933781,human
889213107112996864,human
276562720,bot
256115497,human
4848354100,human
2318140218,human
2581857086,human
1739064128,human
47186755,human
861135093213138944,bot
20710218,bot
20972371,bot
1681392474,human
795083617,human
221512549,human
18088810,human
29361001,human
939262832,human
3101950833,human
386139005,human
220464007,human
792462217,human
477365128,human
39846828,bot
1849164720,human
91227068,human
34866114,human
1021313990,human
41681878,bot
34079698,bot
409207765,bot
24642526,human
1034115201979826178,human
24380395,human
46662639,human
172753966,bot
18351153,human
863765552,bot
856949808,bot
495453239,bot
800588862,bot
120587348,bot
307233876,bot
342099030,bot
5768282,human
448529505,bot
1006905571994472448,human
202900592,bot
38536306,human
130286723,human
897589708162830337,human
2362967176,bot
171705488,bot
78120081,human
769650999942340608,bot
78644388,human
765838109976190976,bot
1320158370,human
833356976,human
29885619,human
877343511858692096,bot
1028654280,human
970982604,human
42730704,human
2961704150,human
85722328,human
497288416,human
403703016,bot
320603385,human
880018682,human
29099266,human
400557314,human
4328785158,bot
877379085214679040,bot
2622731,human
331613467,human
957089052,bot
2984510759,bot
439878961,human
27526457,human
896533819,human
350487871,human
123209023,bot
45090120,human
2444756300,human
14157134,human
14681449,human
969324483185119232,human
982628478284595200,human
839237419815796736,human
321389968,human
22021524,human
304088468,bot
480249240,human
765659108854857729,bot
50595242,human
16254381,human
837027265,human
1126958532,bot
38536646,human
215745990,human
2334131662,bot
74712538,human
2727609826,human
179832300,bot
2425882104,human
3077047801,bot
1125910016,human
171968009,human
301729291,human
74450446,human
1604847120,human
362284562,human
1719404058,bot
2444756510,human
568854046,bot
867436081,bot
3164603961,bot
772504122608214016,human
318768709,human
835368880277159936,bot
1733822028,human
328205906,bot
890678446698975233,human
217319002,human
4903929447,human
894666092710383618,human
1661470322,bot
28313220,human
214697607,human
242484876,bot
3483877814,bot
18089641,human
316147373,human
969672378,bot
293340865,bot
